Country Code,Year,Bucket,prod_usd,Country Name,Population,"GDP per capita (constant prices, PPP)",prod_pc,prod_pct_gdp
UKR,2014,Natural Gas,6492179740.274379,Ukraine,45972380.0,11062.102759776812,141.21913506053806,1.276602994270027
USA,2014,Natural Gas,226281355762.30103,United States,319257560.0,45402.43118600029,708.7736802921786,1.5610919102295273
UZB,2014,Natural Gas,18076341604.297173,Uzbekistan,30222994.0,7977.613846483202,598.0989707471462,7.497216363898186
VEN,2014,Natural Gas,10206899626.02354,"Venezuela, RB",30254079.0,6287.850626453932,337.3726771197874,5.365469015762077
VNM,2014,Natural Gas,3163597588.800013,Viet Nam,91679578.0,16056.410027414426,34.50711333771642,0.21491175971963591
ARE,2015,Natural Gas,11806177401.2613,United Arab Emirates,8505237.0,47586.214902155,1388.1068101055032,2.9170355594780477
ARG,2015,Natural Gas,7150576605.725841,Argentina,43477012.0,23933.897,164.46798611012736,0.6871759584748249
AUS,2015,Natural Gas,14969122020.179186,Australia,23815995.0,48750.662,628.5322960547811,1.289279509793695
AZE,2015,Natural Gas,3784516087.19902,Azerbaijan,9649341.0,14941.15,392.2046165845958,2.6249961789058793
BGD,2015,Natural Gas,5208946069.261311,Bangladesh,159383179.0,4673.236000000003,32.6819059698973,0.6993420826574409
BHR,2015,Natural Gas,2938380318.4120483,Bahrain,1370322.0,48164.15000000001,2144.299163563052,4.452064790021316
BOL,2015,Natural Gas,4048367453.4365416,Bolivia,11014705.0,8013.704,367.5420679388637,4.586419312952708
BRA,2015,Natural Gas,4796009507.995365,Brazil,201675532.0,15713.74,23.780819916197693,0.15133774592298008
BRN,2015,Natural Gas,2677894681.92155,Brunei Darussalam,422212.0,63524.092,6342.535697520558,9.984457074208251
CAN,2015,Natural Gas,32388242001.88097,Canada,35704498.0,41904.64505858261,907.119377560804,2.1647227325100906
CHN,2015,Natural Gas,27333880986.874844,China,1379860000.0,15967.794208904736,19.80916976133437,0.12405702066405278
COL,2015,Natural Gas,2339187831.597917,Colombia,46969940.0,18772.5798109204,49.80180582725711,0.2652901536649021
